IATA,Airline,Country,ID
HU,Hainan Airlines,China - Peoples Republic,429
4R,Hamburg International,Germany,430
HA,Hawaiian Airlines,USA,431
HN,Heavylift Cargo Airlines,Australia,432
YO,Heli Air Monaco,Monaco,433
JB,Helijet,Canada,434
T4,Hellas Jet,Greece,435
HW,Hello,Switzerland,436
2L,Helvetic Airways,Switzerland,437
DU,Hemus Air,Bulgaria,438
UD,Hex'Air,France,439
5K,Hi Fly,Portugal,440
8H,Highland Airways,United Kingdom,441
HD,Hokkaido International Airlines,Japan,442
H5,Hola Airlines,Spain,443
N8,Hong Kong Airlines,China - Peoples Republic,444
UO,Hong Kong Express Airways,China - Peoples Republic,445
QX,Horizon Air,USA,446
II,IBC Airways,USA,447
IB,Iberia Airlines,Spain,448
FW,Ibex Airlines,Japan,449
X8,Icaro Air,Ecuador,450
FI,Icelandair,Iceland,451
IK,Imair Airlines,Azerbaijan,452
6E,IndiGo Airlines,India,453
I8,Indonesia Air Transport,Indonesia,454
QZ,Indonesia AirAsia,Indonesia,455
7I,Insel Air,Netherlands Antilles,456
D6,Interair South Africa,South Africa,457
4O,Interjet,Mexico,458
ID,Interlink Airlines,South Africa,459
6I,International Business Air,Sweden,460
3L,InterSky,Austria,461
I4,Interstate Airline,Netherlands,462
IR,Iran Air,Iran,463
EP,Iran Aseman Airlines,Iran,464
IA,Iraqi Airways,Iraq,465
WP,Island Air,USA,466
2S,Island Express,USA,467
IF,Islas Airways,Spain,468
WC,Islena De Inversiones,Honduras,469
6H,Israir Airlines,Israel,470
9X,ItAli Airlines,Italy,471
GI,Itek Air,Kyrgyzstan,472
H9,Izair,Turkey,473
JI,Jade Cargo International,China - Peoples Republic,474
JC,JAL Express,Japan,475
JO,JALways,Japan,476
3X,Japan Air Commuter,Japan,477
JL,Japan Airlines,Japan,478
NU,Japan Transocean Air,Japan,479
JU,Jat Airways,Serbia,480
O2,Jet Air,Poland,481
9W,Jet Airways,India,482
PP,Jet Aviation,Switzerland,483
8J,Jet4you,Morocco,484
JF,Jetairfly,Belgium,485
B6,JetBlue Airways,USA,486
0J,Jetclub,Switzerland,487
S2,JetLite,India,488
JQ,Jetstar Airways,Australia,489
3K,Jetstar Asia Airways,Singapore,490
BL,Jetstar Pacific,Vietnam,491
JX,Jett8 Airlines Cargo,Singapore,492
LJ,Jin Air,South Korea,493
R5,Jordan Aviation,Jordan,494
6J,Jubba Airways,Somalia,495
HO,Juneyao Airlines,China - Peoples Republic,496
K4,Kalitta Air,USA,497
K9,Kalitta Charters,USA,498
RQ,Kam Air,Afghanistan,499
E2,Kampuchea Airlines,Cambodia,500
3Y,Kartika Airlines,Indonesia,501
KV,Kavminvodyavia,Russia,502
XC,KD Air,Canada,503
KD,KD Avia,Russia,504
KW,Kelowna Flightcraft Air Charter,Canada,505
M5,Kenmore Air,USA,506
KQ,Kenya Airways,Kenya,507
X9,Khors Aircompany,Ukraine,508
IT,Kingfisher Airlines,India,509
DN,Kingfisher Red,India,510
Y9,Kish Air,Iran,511
WA,KLM Cityhopper,Netherlands,512
KL,KLM Royal Dutch Airlines,Netherlands,513
7K,Kogalymavia,Russia,514
K7,KoralBlue Airlines,Egypt,515
KE,Korean Air,South Korea,516
GW,Kuban Airlines,Russia,517
VD,Kunpeng Airlines,China - Peoples Republic,518
KU,Kuwait Airways,Kuwait,519
GO,Kuzu Airlines Cargo,Turkey,520
QH,Kyrgyzstan,Kyrgyzstan,521
R8,Kyrgyzstan Airlines,Kyrgyzstan,522
LR,LACSA,Costa Rica,523
5U,LADE - Líneas Aéreas del Estado,Argentina,524
LM,LAM Mozambique Airlines,Mozambique,525
LA,LAN Airlines,Chile,526
4M,LAN Argentina,Argentina,527
UC,LAN Cargo,Chile,528
XL,LAN Ecuador,Ecuador,529
LU,LAN Express,Chile,530
LP,LAN Peru,Peru,531
QV,Lao Airlines,Laos,532
8z,LASER Airlines,Venezuela,533
NG,Lauda Air,Austria,534
A0,L'Avion,France,535
LI,Leeward Islands Air Transport,Antigua and Barbuda,536
LN,Libyan Airlines,Libya,537
JT,Lion Air,Indonesia,538
LC,Loganair,United Kingdom,539
LO,LOT Polish Airlines,Poland,540
T2,Lotus Air,Egypt,541
LT,LTU International,Germany,542
HE,Luftfahrtgesellschaft Walter,Germany,543
LH,Lufthansa,Germany,544
CL,Lufthansa CityLine,Germany,545
DV,Lufttaxi Fluggesellschaft,Germany,546
LG,Luxair,Luxembourg,547
5V,Lviv Airlines,Ukraine,548
L2,Lynden Air Cargo,USA,549
L4,Lynx Aviation,USA,550
UJ,Magnicharters,Mexico,551
W5,Mahan Air,Iran,552
MH,Malaysia Airlines,Malaysia,553
Q2,Maldivian,Maldives,554
MV,Maldivian Air Taxi,Maldives,555
MA,Malev Hungarian Airlines,Hungary,556
RI,Mandala Airlines,Indonesia,557
AE,Mandarin Airlines,"Taiwan, Republic of China",558
JE,Mango,South Africa,559
M7,Marsland Aviation,Sudan,560
MP,Martinair,Netherlands,561
IN,MAT Macedonian Airlines,Macedonia,562
L6,Mauritania Airlines International,Mauritania,563
8M,Maxair,Sweden,564
MW,Maya Island Air,Belize,565
N5,Medavia,Malta,566
IM,Menajet,Lebanon,567
IG,Meridiana,Italy,568
MZ,Merpati Nusantara Airlines,Indonesia,569
YV,Mesa Airlines,USA,570
XJ,Mesaba Airlines,USA,571
MX,Mexicana,Mexico,572
QA,MexicanaClick,Mexico,573
OM,MIAT Mongolian Airlines,Mongolia,574
ME,Middle East Airlines,Lebanon,575
MY,Midwest Airlines,Egypt,576
MJ,Mihin Lanka,Sri Lanka,577
7G,MK Airlines,United Kingdom,578
MB,MNG Airlines,Turkey,579
2M,Moldavian Airlines,Moldova,580
ZB,Monarch Airlines,United Kingdom,581
YM,Montenegro Airlines,Montenegro,582
3R,Moskovia Airlines,Russia,583
M9,Motor Sich,Ukraine,584
NM,Mount Cook Airlines,New Zealand,585
8I,MyAir,Italy,586
UB,Myanma Airways,Myanmar (Burma),587
XY,Nas Air,Saudi Arabia,588
UE,Nasair Eritea,Eritrea,589
5M,National Airlines,USA,590
YJ,National Airways,South Africa,591
NC,National Jet Systems,Australia,592
ON,Nauru Air Corporation,Nauru,593
ZN,Navegacion y Servicios Aéreos Canarios,Spain,594
NO,Neos,Italy,595
RA,Nepal Airlines,Nepal,596
EJ,New England Airlines,USA,597
2N,Nextjet,Sweden,598
HG,Niki,Austria,599
KZ,Nippon Cargo Airlines,Japan,600
DD,Nok Air,Thailand,601
NA,North American Airlines,USA,602
NW,Northwest Airlines,USA,603
J3,Northwestern Air,Canada,604
DY,Norwegian Air Shuttle,Norway,605
BJ,Nouvelair,Tunesia,606
M4,Nova Airline,Sudan,607
O6,Oceanair,Brazil,608
BK,Okay Airways,China - Peoples Republic,609
OL,OLT - Ostfriesische Lufttransport,Germany,610
OA,Olympic Airlines,Greece,611
WY,Oman Air,Oman,612
OX,One-Two-GO Airlines,Thailand,613
8Q,Onur Air,Turkey,614
R2,Orenair,Russia,615
OJ,Overland Airways,Nigeria,616
O7,Ozjet Airlines,Australia,617
Y5,Pace Airlines,USA,618
DJ,Pacific Blue Airlines,New Zealand,619
8P,Pacific Coastal Airline,Canada,620
Q8,Pacific East Asia Cargo Airlines,Philippines,621
LW,Pacific Wings,USA,622
PK,Pakistan International Airlines,Pakistan,623
PF,Palestinian Airlines,Egypt,624
NR,Pamir Airways,Afghanistan,625
PV,PAN Air,Spain,626
PQ,Panafrican Airways,Ivory Coast,627
P8,Pantanal Linhas Aereas Sul-Matogrossenses,Brazil,628
I7,Paramount Airways,India,629
9Q,PB Air,Thailand,630
HP,Pearl Airways,Haiti,631
7V,Pelican Air Services,South Africa,632
6D,Pelita Air Service,Indonesia,633
KS,PenAir,USA,634
PE,People's Viennaline,Austria,635
P9,Perm Airlines,Russia,636
PR,Philippine Airlines,Philippines,637
9R,Phuket Air,Thailand,638
PI,Piedmont Airlines,USA,639
9E,Pinnacle Airlines,USA,640
PU,PLUNA,Uruguay,641
U4,PMTair,Cambodia,642
PO,Polar Air Cargo,USA,643
YQ,Polet Airlines,Russia,644
PH,Polynesian Airlines,Samoa,645
PD,Porter Airlines,Canada,646
NI,Portugalia,Portugal,647
PW,Precision Air,Tanzania,648
TO,President Airlines,Cambodia,649
GX,Primera Air,Iceland,650
8W,Private Wings Flugcharter,Germany,651
PB,Provincial Airlines,Canada,652
US,PSA Airlines,USA,653
QR,Qatar Airways,Qatar,654
RT,RAK Airways,United Arab Emirates,655
WZ,Red Wings Airlines,Russia,656
FN,Regional Air Lines,Morocco,657
YS,Regional Compagnie Aerienne Europeenne,France,658
ZL,Regional Express Airlines,Australia,659
RW,Republic Airlines,USA,660
RH,Republic Express Airlines,Indonesia,661
C7,Rico Linhas Aereas,Brazil,662
WQ,Romavia,Romania,663
FV,Rossiya - Russian Airlines,Russia,664
RR,Royal Air Force,United Kingdom,665
RS,Royal Air Force of Oman,Oman,666
AT,Royal Air Maroc,Morocco,667
R0,Royal Airlines,Pakistan,668
BI,Royal Brunei Airlines,Brunei Darussalam,669
RJ,Royal Jordanian,Jordan,670
RK,Royal Khmer Airlines,Cambodia,671
RL,Royal Phnom Penh Airways,Cambodia,672
P7,Russian Sky Airlines,Russia,673
WB,Rwandair Express,Rwanda,674
RD,Ryan International Airlines,USA,675
FR,Ryanair,Ireland,676
S7,S7 Airlines,Russia,677
SA,Sabah Air,Malaysia,678
FA,Safair,South Africa,679
MM,SAM Colombia,Colombia,680
ZS,Sama Airlines,Saudi Arabia,681
S3,Santa Barbara Airlines,Venezuela,682
6W,Saravia,Russia,683
HZ,SAT Airlines,Russia,684
SP,SATA Air Acores,Portugal,685
S4,SATA International,Portugal,686
SV,Saudi Arabian Airlines,Saudi Arabia,687
W7,Sayakhat Airlines,Kazakhstan,688
SK,Scandinavian Airlines System,Sweden,689
CB,ScotAirways,United Kingdom,690
SJ,Seagle Air,Slovakia,691
5S,Servicios Aereos Profesionales,Dominican Republic,692
FS,Servicios de Transportes Aereos Fueguinos,Argentina,693
5E,SGA Airlines,Thailand,694
NL,Shaheen Air International,Pakistan,695
SC,Shandong Airlines,China - Peoples Republic,696
FM,Shanghai Airlines,China - Peoples Republic,697
F4,Shanghai Airlines Cargo,China - Peoples Republic,698
ZH,Shenzhen Airlines,China - Peoples Republic,699
J5,Shenzhen Donghai Airlines,China - Peoples Republic,700
S5,Shuttle America,USA,701
ZP,Silk Way Airlines,Azerbaijan,702
MI,SilkAir,Singapore,703
SQ,Singapore Airlines,Singapore,704
H2,Sky Airline,Chile,705
SY,Sky Airlines,Turkey,706
XW,Sky Express,Russia,707
I6,Sky Eyes,Thailand,708
NE,SkyEurope,Slovakia,709
BC,Skymark Airlines,Japan,710
5G,Skyservice Airlines,Canada,711
NP,Skytrans Airlines,Australia,712
JZ,Skyways Express,Sweden,713
OO,SkyWest Airlines,USA,714
XR,Skywest Airlines AUS,Australia,715
QS,Smart Wings,Czech Republic,716
6Y,SmartLynx Airlines,Latvia,717
DA,Sol Dominicana Airlines,Dominican Republic,718
IE,Solomon Airlines,Solomon Islands,719
YB,South African Express,South Africa,720
YG,South Airlines,Ukraine,721
DG,South East Asian Airlines,Philippines,722
9S,Southern Air,USA,723
WN,Southwest Airlines,USA,724
JK,Spanair,Spain,725
SG,Spicejet,India,726
NK,Spirit Airlines,USA,727
UL,SriLankan Airlines,Sri Lanka,728
S6,Star Air,Denmark,729
6S,Star Air Aviation,Pakistan,730
2I,Star Perú,Peru,731
DZ,Starline.kz,Kazakhstan,732
SD,Sudan Airways,Sudan,733
XQ,SunExpress,Turkey,734
CQ,Sunshine Express Airlines,Australia,735
WG,Sunwing Airlines,Canada,736
SO,Superior Aviation,USA,737
PY,Surinam Airways,Suriname,738
Q7,Swift Air,USA,739
LX,Swiss European Air Lines,Switzerland,740
7E,Sylt Air,Germany,741
RB,Syrian Arab Airlines,Syria,742
DT,TAAG Angola Airlines,Angola,743
T0,TACA Peru,Peru,744
VR,TACV,Cape Verde,745
R9,TAF Linhas Aéreas,Brazil,746
7J,Tajik Air,Tajikistan,747
PZ,TAM Airlines,Paraguay,748
EQ,TAME,Ecuador,749
QT,Tampa Cargo,Colombia,750
TQ,Tandem Aero,Moldova,751
TP,TAP Portugal,Portugal,752
RO,Tarom,Romania,753
SF,Tassili Airlines,Algeria,754
U9,Tatarstan Airlines,Russia,755
T6,Tavrey Airlines,Ukraine,756
FD,Thai AirAsia,Thailand,757
TG,Thai Airways International,Thailand,758
MT,Thomas Cook Airlines,United Kingdom,759
DK,Thomas Cook Airlines Scandinavia,Denmark,760
BY,Thomson Airways,United Kingdom,761
3P,Tiara Air,Aruba (Netherlands),762
TR,Tiger Airways,Singapore,763
TT,Tiger Airways Australia,Australia,764
3V,TNT Airways,Belgium,765
9D,Toumaï Air Tchad,Chad,766
WI,Tradewinds Airlines,USA,767
N4,Trans Air Benin,Benin,768
M8,Trans Maldivian Airways,Maldives,769
AX,Trans States Airlines,USA,770
UN,Transaero Airlines,Russia,771
GE,TransAsia Airways,"Taiwan, Republic of China",772
AL,TransAVIAexport Airlines,Belarus,773
T9,Transcarga,Venezuela,774
TH,Transmile Air Services,Malaysia,775
8R,TRIP Linhas Aereas,Brazil,776
3A,Triple Alpha Luftfahrtgesellschaft,Germany,777
PM,Tropic Air,Belize,778
X3,TUIfly,Germany,779
6B,TUIfly Nordic,Sweden,780
2T,Tulpar Air Service,Kazakhstan,781
TU,Tunisair,Tunesia,782
UG,TunisAir Express,Tunesia,783
3T,Turan Air,Azerbaijan,784
TK,Turkish Airlines,Turkey,785
T5,Turkmenistan Airlines,Turkmenistan,786
T7,Twin Jet,France,787
PS,Ukraine International Airlines,Ukraine,788
6Z,Ukrainian Cargo Airways,Ukraine,789
UF,UM Airlines,Ukraine,790
B7,Uni Air,"Taiwan, Republic of China",791
UA,United Airlines,USA,792
4H,United Airways,Bangladesh,793
5X,United Parcel Service,USA,794
U6,Ural Airlines,Russia,795
UH,US Helicopter,USA,796
U5,USA 3000 Airlines,USA,797
UT,UTair Aviation,Russia,798
HY,Uzbekistan Airways,Uzbekistan,799
VM,Viaggio Air,Bulgaria,800
VI,Vieques Air Link,Puerto Rico,801
VN,Vietnam Airlines,Vietnam,802
NN,VIM Airlines,Russia,803
VQ,Vintage Props and Jets,USA,804
V6,VIP Ecuador,Ecuador,805
VX,Virgin America,USA,806
VS,Virgin Atlantic Airways,United Kingdom,807
VK,Virgin Nigeria Airways,Nigeria,808
ZG,Viva Macau,China - Peoples Republic,809
VB,VivaAerobus,Mexico,810
XF,Vladivostok Air,Russia,811
VG,VLM Airlines,Belgium,812
VA,Volare Airlines,Italy,813
VC,Voyageur Airways,Canada,814
RG,VRG Linhas Aereas,Brazil,815
VY,Vueling Airlines,Spain,816
3W,Wan Air,French Polynesia,817
WT,Wasaya Airways,Canada,818
W1,WDL Aviation,Germany,819
2W,Welcome Air,Austria,820
WS,WestJet,Canada,821
WF,Wideroe,Norway,822
9C,Wimbi Dira Airways,"Congo, Democratic Republic of the",823
IV,Wind Jet,Italy,824
7W,Wind Rose Aviation,Ukraine,825
WM,Windward Islands Airways,Netherlands Antilles,826
1W,Wings Air,Indonesia,827
W6,Wizz Air,Hungary,828
MF,Xiamen Airlines,China - Peoples Republic,829
SE,XL Airways France,France,830
XP,Xtra Airways,USA,831
R3,Yakutia Airlines,Russia,832
YL,Yamal Airlines,Russia,833
Y8,Yangtze River Express,China - Peoples Republic,834
IY,Yemenia - Yemen Airways,Yemen,835
OE,Yeongnam Air,South Korea,836
K8,Zambia Skyways,Zambia,837
Q3,Zambian Airways,Zambia,838
6K,Zest Airways,Philippines,839
C4,Zimex Aviation,Switzerland,840
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
